Anther,Sepal,Ovary,Pod,Stigma,Flower,Leaf
GLYMA_09G260200,GLYMA_13G064700,GLYMA_12G109800,GLYMA_08G345200,GLYMA_08G006400,GLYMA_16G220100,GLYMA_13G320500
GLYMA_07G146800,ENSRNA050003108,GLYMA_06G156800,GLYMA_09G019900,GLYMA_10G202000,GLYMA_16G010400,GLYMA_18G002700
GLYMA_08G164800,GLYMA_13G238900,GLYMA_18G297900,GLYMA_09G111700,GLYMA_04G096300,GLYMA_19G205000,GLYMA_15G158100
GLYMA_20G124000,GLYMA_10G018200,GLYMA_05G003600,GLYMA_02G174400,GLYMA_12G110600,GLYMA_06G315500,GLYMA_10G149200
GLYMA_10G146300,GLYMA_13G135800,GLYMA_08G315800,GLYMA_15G269600,GLYMA_19G158700,GLYMA_04G110700,GLYMA_08G115200
GLYMA_02G258900,GLYMA_03G259600,GLYMA_18G120300,GLYMA_09G227200,GLYMA_06G073800,GLYMA_06G086200,GLYMA_03G152200
GLYMA_04G076900,GLYMA_08G109400,GLYMA_15G268700,GLYMA_15G130000,GLYMA_13G121600,GLYMA_08G145900,GLYMA_01G026800
GLYMA_05G143700,GLYMA_15G086400,GLYMA_01G117800,GLYMA_13G348100,GLYMA_10G189500,GLYMA_02G067400,GLYMA_12G014300
GLYMA_08G182200,GLYMA_02G081900,GLYMA_17G090200,GLYMA_01G163300,GLYMA_10G255400,GLYMA_20G159900,GLYMA_03G184200
GLYMA_09G192900,GLYMA_14G038200,GLYMA_15G001700,GLYMA_11G036900,GLYMA_08G204400,GLYMA_01G082200,GLYMA_13G234300
GLYMA_18G001800,GLYMA_05G025100,GLYMA_13G253400,GLYMA_12G064600,GLYMA_09G082300,GLYMA_13G343300,GLYMA_07G189500
GLYMA_15G024700,GLYMA_14G215800,GLYMA_08G113600,GLYMA_15G136700,GLYMA_14G051100,GLYMA_09G262200,GLYMA_02G021700
GLYMA_01G234300,GLYMA_13G065000,GLYMA_08G156500,GLYMA_01G058100,GLYMA_15G108200,GLYMA_03G164800,GLYMA_17G048000
GLYMA_20G158900,GLYMA_15G143300,GLYMA_19G052300,GLYMA_18G250700,GLYMA_19G217400,GLYMA_08G266700,GLYMA_15G041500
GLYMA_02G121500,GLYMA_06G190900,GLYMA_09G004700,GLYMA_10G112000,GLYMA_20G049800,GLYMA_06G063300,GLYMA_08G239000
GLYMA_11G189400,GLYMA_17G202700,GLYMA_18G096900,GLYMA_06G131900,GLYMA_10G123100,GLYMA_17G026500,GLYMA_02G304200
GLYMA_08G114100,GLYMA_08G081300,GLYMA_19G218000,GLYMA_15G213200,GLYMA_15G055400,GLYMA_05G079700,GLYMA_09G036800
GLYMA_16G138900,GLYMA_02G047100,GLYMA_19G161200,GLYMA_02G008100,GLYMA_11G154700,GLYMA_05G176300,GLYMA_17G020600
GLYMA_20G114700,GLYMA_06G324600,GLYMA_05G150300,GLYMA_02G012800,GLYMA_05G151700,GLYMA_01G020300,GLYMA_14G044800
GLYMA_08G233300,GLYMA_04G080500,GLYMA_06G211500,GLYMA_04G013000,GLYMA_01G146900,GLYMA_15G020200,GLYMA_09G020800
GLYMA_20G111100,GLYMA_12G047400,GLYMA_10G186000,GLYMA_13G130800,GLYMA_07G196200,GLYMA_06G105300,GLYMA_15G080600
GLYMA_06G296300,GLYMA_04G077700,GLYMA_08G042900,GLYMA_17G088700,GLYMA_15G259200,GLYMA_17G180400,GLYMA_20G194000
GLYMA_04G102400,GLYMA_12G240400,ENSRNA050003086,GLYMA_03G097300,GLYMA_13G287700,GLYMA_20G102400,GLYMA_10G291200
GLYMA_13G211300,GLYMA_16G082700,GLYMA_17G024200,GLYMA_07G237500,GLYMA_19G155000,GLYMA_15G006100,GLYMA_19G115400
GLYMA_10G109500,GLYMA_19G197500,GLYMA_10G276900,GLYMA_14G045600,GLYMA_15G237600,GLYMA_17G238900,GLYMA_14G018700
GLYMA_10G177200,GLYMA_15G017400,GLYMA_20G116900,GLYMA_18G154700,GLYMA_02G174400,GLYMA_06G015800,GLYMA_11G142300
GLYMA_08G048200,GLYMA_18G229200,GLYMA_05G141300,GLYMA_13G093000,GLYMA_18G005600,GLYMA_03G097700,GLYMA_05G174600
GLYMA_06G136800,GLYMA_03G209700,GLYMA_05G148000,GLYMA_15G147700,GLYMA_06G061600,GLYMA_11G067200,GLYMA_08G181000
GLYMA_10G219500,GLYMA_10G222400,GLYMA_19G210000,GLYMA_12G044500,GLYMA_13G063600,GLYMA_07G046800,GLYMA_15G127800
GLYMA_12G073100,GLYMA_09G047200,GLYMA_13G237800,GLYMA_03G154800,GLYMA_11G020200,GLYMA_20G202200,GLYMA_16G041600
GLYMA_10G051200,GLYMA_05G196100,GLYMA_08G067400,GLYMA_19G235000,GLYMA_18G155900,GLYMA_13G057700,GLYMA_13G286800
GLYMA_09G132500,GLYMA_14G215100,GLYMA_01G218300,GLYMA_05G080100,GLYMA_02G146700,GLYMA_19G252700,GLYMA_10G187900
GLYMA_12G007900,GLYMA_13G299600,GLYMA_05G234900,GLYMA_08G170400,GLYMA_13G112200,GLYMA_04G074900,GLYMA_18G290000
GLYMA_12G238300,GLYMA_15G033100,GLYMA_14G062800,GLYMA_08G174700,GLYMA_20G141900,GLYMA_03G046400,GLYMA_03G130800
GLYMA_14G163200,GLYMA_01G045400,GLYMA_10G166600,GLYMA_02G135800,GLYMA_02G155300,GLYMA_20G145800,GLYMA_01G078800
GLYMA_17G143000,GLYMA_10G225100,GLYMA_02G252200,GLYMA_10G192300,GLYMA_11G200400,GLYMA_10G104100,GLYMA_16G220200
GLYMA_17G048100,GLYMA_14G177200,GLYMA_01G225400,GLYMA_19G243500,GLYMA_13G089800,GLYMA_02G101500,GLYMA_11G070600
GLYMA_09G224700,GLYMA_08G135800,GLYMA_07G191400,GLYMA_08G202300,GLYMA_15G240800,GLYMA_10G170500,GLYMA_10G255100
GLYMA_13G059800,GLYMA_01G157600,GLYMA_17G154400,GLYMA_14G064600,GLYMA_13G087000,GLYMA_18G258000,GLYMA_05G123100
GLYMA_07G192700,GLYMA_07G034300,GLYMA_08G348400,GLYMA_15G266700,GLYMA_08G226600,GLYMA_20G192300,GLYMA_02G275600
GLYMA_03G235100,GLYMA_01G052200,GLYMA_13G080400,GLYMA_02G064800,GLYMA_13G139100,GLYMA_16G180500,GLYMA_20G122500
GLYMA_13G115800,GLYMA_08G030500,GLYMA_05G059200,GLYMA_17G107900,GLYMA_02G142400,GLYMA_16G062200,GLYMA_14G041500
GLYMA_18G001900,GLYMA_03G229200,GLYMA_11G062000,GLYMA_02G022300,GLYMA_07G223700,GLYMA_13G224700,GLYMA_04G002300
GLYMA_19G212200,GLYMA_08G343800,GLYMA_20G170700,GLYMA_19G187400,GLYMA_10G244600,GLYMA_09G114600,GLYMA_01G089300
GLYMA_11G107500,GLYMA_19G173000,GLYMA_19G080600,GLYMA_20G113300,GLYMA_05G031000,GLYMA_04G055900,GLYMA_05G052300
GLYMA_07G149000,GLYMA_06G024400,GLYMA_U025800,GLYMA_20G208900,GLYMA_13G340300,GLYMA_12G218100,GLYMA_13G017200
GLYMA_03G011800,GLYMA_20G128800,GLYMA_16G030200,GLYMA_10G031700,GLYMA_05G211100,GLYMA_06G186900,GLYMA_07G130200
GLYMA_12G043000,GLYMA_11G023500,GLYMA_17G053500,GLYMA_05G026200,GLYMA_15G124100,GLYMA_09G044300,GLYMA_14G036100
GLYMA_04G046200,GLYMA_13G336600,GLYMA_09G023700,GLYMA_13G103200,GLYMA_08G156900,GLYMA_07G238700,GLYMA_06G305600
GLYMA_04G094400,GLYMA_13G171100,GLYMA_10G260700,GLYMA_13G068000,GLYMA_18G227200,GLYMA_18G280200,GLYMA_20G123700
GLYMA_13G270700,GLYMA_17G143400,GLYMA_16G043500,GLYMA_12G076100,GLYMA_09G123800,GLYMA_06G195200,GLYMA_17G021100
GLYMA_04G193500,GLYMA_05G198700,GLYMA_06G014500,GLYMA_18G132900,GLYMA_10G276900,GLYMA_15G205600,GLYMA_15G269300
GLYMA_04G196800,GLYMA_20G233300,GLYMA_02G149200,GLYMA_02G047600,GLYMA_14G026300,GLYMA_13G171000,GLYMA_04G099400
GLYMA_17G002600,GLYMA_17G112500,GLYMA_02G253600,GLYMA_03G125200,GLYMA_15G227300,GLYMA_04G093800,GLYMA_19G001300
GLYMA_05G007300,GLYMA_20G226700,GLYMA_05G042700,GLYMA_02G125200,GLYMA_08G199700,GLYMA_13G193700,GLYMA_16G088200
GLYMA_07G045400,GLYMA_12G019300,ENSRNA050003772,GLYMA_05G070200,GLYMA_05G175600,GLYMA_16G194100,GLYMA_20G240700
GLYMA_07G199900,GLYMA_17G151500,GLYMA_03G008500,GLYMA_12G095500,GLYMA_13G082300,GLYMA_19G246200,GLYMA_05G105500
GLYMA_19G110500,GLYMA_18G124600,GLYMA_01G236600,GLYMA_06G049500,GLYMA_01G219600,GLYMA_16G017600,GLYMA_02G292400
GLYMA_02G146600,GLYMA_01G017900,GLYMA_04G080600,GLYMA_06G211600,GLYMA_08G028900,GLYMA_14G096600,GLYMA_02G009600
GLYMA_08G070200,GLYMA_18G099000,GLYMA_12G019200,GLYMA_15G031100,GLYMA_01G150200,GLYMA_08G176400,GLYMA_04G057100
GLYMA_18G244300,GLYMA_19G203900,GLYMA_13G099700,GLYMA_07G046800,GLYMA_14G191200,GLYMA_14G045000,GLYMA_04G196200
GLYMA_02G160200,GLYMA_07G108900,GLYMA_07G057500,GLYMA_13G008000,GLYMA_16G197700,GLYMA_05G169300,GLYMA_07G017500
GLYMA_17G149500,GLYMA_03G018700,GLYMA_13G272200,GLYMA_20G165700,GLYMA_17G098100,ENSRNA050003232,GLYMA_06G306300
GLYMA_09G169600,GLYMA_18G081700,GLYMA_04G149900,GLYMA_09G023400,GLYMA_08G279700,GLYMA_10G097600,GLYMA_06G206600
GLYMA_13G073400,GLYMA_19G176700,GLYMA_09G162400,GLYMA_13G176100,GLYMA_14G053500,GLYMA_08G164800,GLYMA_10G238600
GLYMA_11G242200,GLYMA_11G138800,GLYMA_13G343100,GLYMA_06G061300,GLYMA_15G032000,GLYMA_17G010100,GLYMA_08G075800
GLYMA_14G141500,GLYMA_16G176100,GLYMA_14G001800,GLYMA_08G139400,GLYMA_13G010500,GLYMA_20G064700,GLYMA_06G040300
GLYMA_17G122100,GLYMA_07G049600,GLYMA_12G167500,GLYMA_20G133500,GLYMA_05G184000,GLYMA_16G017100,GLYMA_13G228100
GLYMA_02G274200,GLYMA_15G016300,GLYMA_16G015100,GLYMA_09G205700,GLYMA_02G008500,GLYMA_15G047800,GLYMA_07G198500
GLYMA_10G181700,GLYMA_09G137200,GLYMA_16G056300,GLYMA_12G206500,GLYMA_05G185000,GLYMA_07G057200,GLYMA_11G178100
GLYMA_13G096100,GLYMA_03G252300,GLYMA_14G050200,GLYMA_15G188500,GLYMA_06G110100,GLYMA_19G245200,GLYMA_11G042200
GLYMA_13G153100,GLYMA_07G089200,GLYMA_12G177200,GLYMA_01G007200,GLYMA_07G200600,GLYMA_14G092100,GLYMA_20G018500
GLYMA_05G062200,GLYMA_17G257900,GLYMA_14G051200,GLYMA_14G208500,GLYMA_08G136200,GLYMA_20G233200,GLYMA_12G218300
GLYMA_02G311800,GLYMA_07G106300,GLYMA_11G192700,GLYMA_07G001300,GLYMA_13G198500,GLYMA_18G215000,GLYMA_18G024300
GLYMA_07G159600,GLYMA_10G052000,GLYMA_18G116500,GLYMA_17G101800,GLYMA_13G335300,GLYMA_06G296300,GLYMA_11G038800
GLYMA_01G002200,GLYMA_19G255600,GLYMA_04G207300,GLYMA_20G018800,GLYMA_14G005800,GLYMA_19G071800,GLYMA_10G230000
GLYMA_11G103000,GLYMA_10G093900,ENSRNA050003408,GLYMA_07G243100,GLYMA_17G136100,GLYMA_12G020700,GLYMA_20G205000
GLYMA_03G026900,GLYMA_14G061500,GLYMA_05G049000,GLYMA_09G113900,GLYMA_19G203500,GLYMA_02G285100,GLYMA_14G021200
GLYMA_05G016400,GLYMA_18G240900,ENSRNA050003269,GLYMA_13G023400,GLYMA_10G257600,GLYMA_11G042700,GLYMA_11G147000
GLYMA_08G113000,GLYMA_12G044500,GLYMA_16G088000,GLYMA_17G071000,GLYMA_16G001300,GLYMA_11G080100,GLYMA_09G124800
GLYMA_01G055900,GLYMA_20G123800,GLYMA_11G125100,GLYMA_09G190000,GLYMA_12G099700,GLYMA_08G337500,GLYMA_07G087500
GLYMA_12G045400,GLYMA_10G291300,GLYMA_01G235200,GLYMA_17G094100,GLYMA_07G150000,GLYMA_02G221700,GLYMA_05G014200
GLYMA_13G107400,GLYMA_18G023300,GLYMA_01G003600,GLYMA_17G109600,GLYMA_17G009400,GLYMA_10G197600,GLYMA_02G060100
GLYMA_17G098000,GLYMA_19G250800,GLYMA_11G079100,GLYMA_13G274000,GLYMA_12G174000,GLYMA_18G132000,GLYMA_05G020300
GLYMA_20G163700,GLYMA_06G035900,GLYMA_17G083500,GLYMA_01G104800,GLYMA_18G258900,GLYMA_11G172500,GLYMA_13G366600
GLYMA_05G058700,GLYMA_17G237100,GLYMA_02G130000,GLYMA_07G244900,GLYMA_07G107400,GLYMA_08G090100,GLYMA_16G167500
GLYMA_04G177100,GLYMA_15G205900,GLYMA_07G028500,GLYMA_06G047000,GLYMA_17G188600,GLYMA_15G265500,GLYMA_16G207400
GLYMA_07G131900,GLYMA_06G059600,GLYMA_10G274700,GLYMA_07G004300,GLYMA_07G242500,GLYMA_08G238800,GLYMA_16G165200
GLYMA_14G038500,GLYMA_08G020800,GLYMA_17G112900,GLYMA_12G227400,GLYMA_06G059200,ENSRNA050003077,GLYMA_09G249900
GLYMA_06G052100,GLYMA_17G087500,GLYMA_12G225700,GLYMA_05G002500,GLYMA_10G190100,GLYMA_10G009200,GLYMA_08G247100
GLYMA_06G009600,GLYMA_06G034400,GLYMA_17G188600,GLYMA_02G045200,GLYMA_17G016100,GLYMA_15G056900,GLYMA_01G196300
GLYMA_11G091200,GLYMA_15G053300,GLYMA_05G057100,GLYMA_08G322900,GLYMA_09G091900,GLYMA_02G279300,GLYMA_08G025500
GLYMA_17G045300,GLYMA_06G156000,GLYMA_18G295600,GLYMA_04G239200,GLYMA_08G017800,GLYMA_20G051200,GLYMA_16G054500
GLYMA_08G023400,GLYMA_04G189600,GLYMA_15G249000,GLYMA_01G217300,GLYMA_20G170000,GLYMA_08G219900,GLYMA_13G009100
GLYMA_06G070700,GLYMA_06G182100,GLYMA_08G140500,GLYMA_10G031300,GLYMA_01G019400,GLYMA_20G239000,GLYMA_20G000300
GLYMA_10G257600,GLYMA_08G363300,GLYMA_09G025600,GLYMA_11G109100,GLYMA_13G162400,GLYMA_08G137700,GLYMA_12G197700
GLYMA_07G130300,GLYMA_04G209200,GLYMA_20G103400,GLYMA_14G179500,GLYMA_11G044800,GLYMA_09G033400,GLYMA_10G005500
GLYMA_13G206800,GLYMA_16G207400,GLYMA_06G031700,GLYMA_20G242400,GLYMA_06G092700,GLYMA_09G232300,GLYMA_05G046000
GLYMA_08G122700,GLYMA_11G061000,GLYMA_05G003800,GLYMA_02G105900,GLYMA_13G114300,GLYMA_11G051700,GLYMA_17G101700
GLYMA_12G218300,GLYMA_01G030500,GLYMA_10G002600,GLYMA_15G140200,GLYMA_03G103600,GLYMA_02G244000,GLYMA_16G189100
GLYMA_13G077300,GLYMA_10G248000,GLYMA_12G037400,GLYMA_18G213100,GLYMA_04G065200,GLYMA_04G107600,GLYMA_19G132200
GLYMA_11G226500,GLYMA_12G148900,GLYMA_04G063400,GLYMA_01G202000,GLYMA_02G279600,GLYMA_17G028200,GLYMA_02G138900
GLYMA_06G056900,ENSRNA050003218,GLYMA_01G021300,GLYMA_06G001500,GLYMA_15G074900,GLYMA_20G177900,GLYMA_18G041600
GLYMA_20G130700,GLYMA_16G005400,GLYMA_12G180500,GLYMA_07G194500,GLYMA_20G215800,GLYMA_14G223100,GLYMA_17G057700
GLYMA_11G037900,GLYMA_05G061400,GLYMA_17G098100,ENSRNA050003468,GLYMA_08G044600,GLYMA_06G223700,GLYMA_06G215400
GLYMA_19G204500,GLYMA_06G235900,GLYMA_17G024600,GLYMA_13G163700,GLYMA_10G254300,GLYMA_04G159300,GLYMA_18G134200
GLYMA_07G130200,GLYMA_08G245100,GLYMA_15G130900,GLYMA_14G086000,GLYMA_06G129300,GLYMA_19G151400,GLYMA_12G016400
GLYMA_10G275700,GLYMA_13G204000,GLYMA_18G267200,GLYMA_20G063200,GLYMA_13G361500,GLYMA_15G005300,GLYMA_10G151200
GLYMA_08G272800,GLYMA_19G247500,GLYMA_08G228000,GLYMA_06G098700,GLYMA_16G146500,GLYMA_09G249700,GLYMA_03G080100
GLYMA_15G267200,GLYMA_08G354000,GLYMA_10G057300,GLYMA_05G027300,GLYMA_05G213800,GLYMA_06G217000,GLYMA_10G114500
GLYMA_19G037500,GLYMA_04G057100,GLYMA_04G112600,GLYMA_04G188700,GLYMA_10G154700,GLYMA_19G008200,GLYMA_17G011500
GLYMA_05G142900,GLYMA_17G029200,GLYMA_01G150400,GLYMA_11G236400,GLYMA_14G027500,GLYMA_05G241500,GLYMA_17G109600
GLYMA_15G091500,GLYMA_03G255400,GLYMA_02G311800,GLYMA_01G100600,GLYMA_01G062100,GLYMA_14G061100,GLYMA_07G244100
GLYMA_18G066100,GLYMA_08G327100,GLYMA_11G101600,GLYMA_12G029900,GLYMA_20G186800,GLYMA_03G068200,GLYMA_05G020100
GLYMA_18G103800,GLYMA_06G046300,GLYMA_U005500,GLYMA_08G017000,GLYMA_06G171700,GLYMA_03G014300,GLYMA_06G311400
GLYMA_02G106100,GLYMA_07G272800,GLYMA_14G041500,GLYMA_13G114700,GLYMA_08G149400,ENSRNA050003437,GLYMA_08G354400
GLYMA_13G126400,GLYMA_14G036800,GLYMA_08G185300,GLYMA_19G209400,GLYMA_10G249700,GLYMA_11G094300,GLYMA_08G070500
GLYMA_04G224300,GLYMA_16G091200,GLYMA_17G010600,GLYMA_09G073900,GLYMA_03G259000,GLYMA_03G158100,GLYMA_12G163500
GLYMA_08G164900,GLYMA_16G130700,GLYMA_15G019700,GLYMA_15G079300,GLYMA_06G284900,GLYMA_03G246600,GLYMA_07G080400
GLYMA_02G217100,GLYMA_15G140000,GLYMA_09G025500,GLYMA_02G036400,GLYMA_17G063500,GLYMA_20G092000,GLYMA_02G015000
GLYMA_08G143500,GLYMA_08G147900,GLYMA_16G060500,GLYMA_05G235900,GLYMA_07G148000,GLYMA_07G162900,GLYMA_15G127300
GLYMA_14G011600,GLYMA_04G017000,GLYMA_04G090400,GLYMA_07G102500,GLYMA_18G191000,GLYMA_04G009100,GLYMA_06G133700
GLYMA_06G075000,GLYMA_07G271400,GLYMA_02G205500,GLYMA_05G005300,GLYMA_13G279100,GLYMA_01G176900,GLYMA_18G299100
GLYMA_13G138200,GLYMA_08G094700,GLYMA_01G016500,GLYMA_12G087800,GLYMA_11G127900,GLYMA_16G018500,GLYMA_10G242500
GLYMA_13G145700,GLYMA_20G247000,GLYMA_11G213400,GLYMA_15G116500,GLYMA_14G105700,GLYMA_06G015900,GLYMA_08G024100
GLYMA_04G085500,GLYMA_08G048400,GLYMA_13G022400,GLYMA_20G120600,GLYMA_07G233400,GLYMA_04G249000,GLYMA_12G165400
GLYMA_06G211300,GLYMA_20G014300,ENSRNA050003629,GLYMA_06G015000,GLYMA_17G120600,GLYMA_20G032800,GLYMA_10G241900
GLYMA_01G131400,GLYMA_06G192700,GLYMA_05G218600,GLYMA_10G027000,GLYMA_05G148200,GLYMA_18G023100,GLYMA_05G025200
GLYMA_17G247000,GLYMA_03G064800,GLYMA_10G163000,GLYMA_19G010900,GLYMA_09G276200,GLYMA_16G129700,GLYMA_19G150400
GLYMA_06G060400,GLYMA_04G139400,GLYMA_01G193700,GLYMA_08G194300,GLYMA_13G003700,GLYMA_16G000300,GLYMA_08G215500
GLYMA_11G056700,GLYMA_05G077100,GLYMA_14G094200,GLYMA_07G243300,GLYMA_01G103100,GLYMA_11G241800,GLYMA_03G261500
GLYMA_08G008900,GLYMA_13G020200,GLYMA_16G141700,GLYMA_19G136300,GLYMA_04G003500,GLYMA_02G236900,GLYMA_20G106500
GLYMA_05G166600,GLYMA_17G019900,GLYMA_01G045200,GLYMA_15G111800,GLYMA_08G348400,GLYMA_09G004400,GLYMA_15G009400
GLYMA_17G135300,GLYMA_03G226700,GLYMA_20G141600,GLYMA_08G004100,GLYMA_09G199300,GLYMA_01G198500,GLYMA_14G000600
GLYMA_01G189400,GLYMA_07G036100,GLYMA_08G071900,GLYMA_02G285100,GLYMA_10G088400,GLYMA_07G232600,GLYMA_10G069100
GLYMA_05G182300,GLYMA_11G175500,GLYMA_08G224000,GLYMA_06G087100,GLYMA_10G217700,GLYMA_10G196100,GLYMA_18G077500
GLYMA_08G282300,GLYMA_13G044600,GLYMA_19G169500,GLYMA_19G158900,GLYMA_18G003000,GLYMA_08G188000,ENSRNA050003372
GLYMA_05G155400,GLYMA_08G107100,GLYMA_11G038600,GLYMA_06G249100,GLYMA_13G100200,GLYMA_03G100800,GLYMA_15G007900
GLYMA_13G355300,GLYMA_18G030800,GLYMA_08G095200,GLYMA_07G270300,GLYMA_19G016000,GLYMA_16G156800,GLYMA_03G196200
GLYMA_18G063100,GLYMA_10G019400,GLYMA_17G010100,GLYMA_12G059600,GLYMA_04G177300,GLYMA_15G131500,GLYMA_01G082500
GLYMA_14G066400,GLYMA_11G076000,GLYMA_05G123500,GLYMA_13G281700,GLYMA_12G220600,GLYMA_01G157300,GLYMA_12G240400
GLYMA_10G271100,GLYMA_08G011800,GLYMA_19G156300,GLYMA_07G057200,GLYMA_10G235100,GLYMA_14G119400,GLYMA_08G040000
GLYMA_14G060100,GLYMA_07G130400,GLYMA_06G228800,GLYMA_03G164300,GLYMA_13G065000,GLYMA_16G036200,GLYMA_17G236900
GLYMA_02G278700,GLYMA_04G095500,GLYMA_09G086800,GLYMA_13G039300,GLYMA_08G265300,GLYMA_14G057400,GLYMA_13G336800
GLYMA_20G104700,GLYMA_01G149100,GLYMA_16G014400,GLYMA_14G196800,GLYMA_10G089500,GLYMA_11G146200,GLYMA_10G070900
GLYMA_13G286100,GLYMA_14G139700,GLYMA_15G140300,ENSRNA050003155,GLYMA_10G180600,GLYMA_20G117600,GLYMA_20G205200
GLYMA_20G018900,GLYMA_04G090300,GLYMA_04G050000,GLYMA_07G089200,GLYMA_10G232700,GLYMA_19G148900,ENSRNA050003721
GLYMA_13G189200,GLYMA_12G033600,GLYMA_02G275000,GLYMA_08G190200,ENSRNA050003838,GLYMA_09G082200,GLYMA_10G256400
GLYMA_05G042400,GLYMA_01G232500,GLYMA_11G134900,GLYMA_04G252100,GLYMA_16G163600,GLYMA_05G012500,GLYMA_08G231900
GLYMA_09G038600,GLYMA_05G207600,GLYMA_12G163500,GLYMA_19G012900,GLYMA_08G267900,GLYMA_15G080200,GLYMA_04G016100
ENSRNA050003105,GLYMA_03G169000,GLYMA_07G108700,GLYMA_03G178800,GLYMA_13G152500,GLYMA_16G111500,GLYMA_03G050100
GLYMA_08G044700,GLYMA_05G059300,GLYMA_10G223500,GLYMA_20G103100,GLYMA_14G222500,GLYMA_17G012300,GLYMA_17G037700
GLYMA_03G245200,GLYMA_11G072800,GLYMA_02G061100,GLYMA_02G245300,GLYMA_12G194500,GLYMA_10G048300,GLYMA_04G090400
GLYMA_06G124300,GLYMA_12G005700,GLYMA_18G066800,GLYMA_09G054300,GLYMA_02G293300,GLYMA_16G041400,GLYMA_17G211100
GLYMA_10G284000,GLYMA_16G045900,GLYMA_07G133800,GLYMA_09G244900,GLYMA_10G017000,GLYMA_17G126100,GLYMA_15G097100
GLYMA_19G185700,GLYMA_20G116400,GLYMA_14G003700,GLYMA_05G073300,GLYMA_17G042600,GLYMA_04G009500,GLYMA_08G185600
GLYMA_05G247900,GLYMA_02G119700,GLYMA_06G216800,GLYMA_10G151000,GLYMA_03G189500,GLYMA_14G146200,GLYMA_05G046700
GLYMA_19G214300,GLYMA_05G085400,GLYMA_13G299400,GLYMA_05G179100,GLYMA_08G293300,GLYMA_04G017500,GLYMA_20G134100
GLYMA_06G189400,GLYMA_08G084800,GLYMA_13G253800,GLYMA_13G199500,GLYMA_09G052100,GLYMA_13G124500,GLYMA_08G271900
GLYMA_11G143400,GLYMA_02G150000,GLYMA_05G100500,GLYMA_06G122600,GLYMA_05G123500,GLYMA_10G133900,GLYMA_04G096300
GLYMA_13G076700,GLYMA_04G045600,GLYMA_14G024700,GLYMA_15G035100,GLYMA_16G039900,GLYMA_20G045800,GLYMA_08G189900
GLYMA_08G225200,GLYMA_08G163800,GLYMA_17G145100,GLYMA_05G016000,GLYMA_16G123700,GLYMA_17G076000,GLYMA_02G251200
GLYMA_18G246300,GLYMA_10G094400,GLYMA_19G235000,ENSRNA050003328,GLYMA_10G287600,GLYMA_06G094000,GLYMA_13G298700
GLYMA_03G167200,GLYMA_02G022800,GLYMA_01G010200,GLYMA_05G011500,GLYMA_08G081000,GLYMA_01G135200,GLYMA_16G115000
ENSRNA050003189,GLYMA_12G169500,GLYMA_09G234200,GLYMA_03G076600,GLYMA_08G193700,GLYMA_15G087700,GLYMA_03G030900
GLYMA_15G048300,GLYMA_08G334100,GLYMA_13G080500,GLYMA_13G058400,GLYMA_14G219300,GLYMA_11G132500,GLYMA_04G079600
GLYMA_02G018800,GLYMA_16G014800,GLYMA_16G008400,GLYMA_12G128600,GLYMA_04G202100,GLYMA_08G348000,GLYMA_10G043000
GLYMA_08G295700,GLYMA_08G354500,GLYMA_12G194100,GLYMA_05G139900,GLYMA_16G212700,GLYMA_05G059600,GLYMA_14G119100
GLYMA_08G124600,GLYMA_10G232800,GLYMA_17G241100,GLYMA_07G023500,GLYMA_10G159200,GLYMA_03G100700,GLYMA_17G132300
GLYMA_12G089800,GLYMA_07G146800,GLYMA_20G100400,ENSRNA050030740,ENSRNA050003229,GLYMA_15G115500,GLYMA_17G145400
GLYMA_04G048100,GLYMA_03G001900,GLYMA_20G206600,GLYMA_17G032800,GLYMA_13G311000,GLYMA_16G050600,GLYMA_06G134300
GLYMA_07G212300,GLYMA_19G223200,GLYMA_19G000200,GLYMA_19G132300,GLYMA_16G036900,GLYMA_16G128800,GLYMA_18G085400
GLYMA_04G061800,GLYMA_09G155500,GLYMA_10G166700,GLYMA_05G127700,GLYMA_12G056700,GLYMA_17G194200,GLYMA_11G250900
GLYMA_14G055500,GLYMA_13G270600,GLYMA_18G053700,GLYMA_13G061700,GLYMA_06G074400,GLYMA_15G242200,ENSRNA050003673
GLYMA_10G292300,GLYMA_09G036600,GLYMA_05G208100,GLYMA_19G221200,GLYMA_11G032900,GLYMA_10G184900,GLYMA_13G237000
GLYMA_03G252700,GLYMA_03G110200,GLYMA_09G025400,GLYMA_05G133100,GLYMA_20G152000,GLYMA_17G201100,GLYMA_14G065400
GLYMA_06G196300,GLYMA_12G009700,GLYMA_01G046200,GLYMA_08G133700,GLYMA_08G015200,GLYMA_17G073800,GLYMA_10G127200
GLYMA_19G239200,GLYMA_16G150600,GLYMA_09G009000,GLYMA_10G255700,GLYMA_12G169500,GLYMA_12G201800,GLYMA_08G202200
GLYMA_06G003800,GLYMA_09G269800,GLYMA_12G095500,GLYMA_11G099500,GLYMA_20G159100,GLYMA_03G066800,GLYMA_11G251100
GLYMA_04G171400,GLYMA_07G183000,GLYMA_01G207200,GLYMA_03G212500,GLYMA_05G000800,GLYMA_13G293400,GLYMA_13G240600
GLYMA_02G136100,GLYMA_02G058700,GLYMA_02G196900,GLYMA_09G062700,GLYMA_05G245600,GLYMA_09G012500,GLYMA_20G077200
